ID,size1,size2,size3
57165,300.0668,199.963,199.99467
57167,300.05872,199.95998,200.006
57169,300.05893,199.9569,199.98544
57171,300.06647,199.95792,200.00624
57175,300.07004,199.98112,200.00648
57177,300.06378,199.96129,199.99873
57183,300.06586,199.97127,199.99692
57185,300.07,199.95966,199.9966
57187,300.06696,199.96469,199.9952
57189,300.07114,199.95929,200.00153
57195,300.0712,199.94911,200.00017
57201,300.0707,199.95932,199.99756
57215,300.07462,199.97232,200.00261
57219,300.07416,199.95447,200.00348
57235,300.082,199.96382,200.00667
57240,300.04785,199.96248,200.0025
57244,300.06268,199.96524,200.00104
57253,300.07767,199.96782,200.00443
57255,300.06897,199.96849,199.9994
57261,300.06387,199.96776,199.99542
57268,300.07004,199.95349,200.00702
57270,300.08185,199.95512,200.00214
57278,300.07635,199.96591,200.00583
57280,300.07544,199.96748,200.0094
57282,300.0617,199.96118,200.00899
57284,300.05756,199.97107,200.00072
57286,300.06778,199.95883,200.00491
57288,300.07526,199.9631,200.00449
57292,300.06055,199.96169,200.00514
57294,300.0493,199.96895,200.00224
57298,300.06174,199.96054,199.99794
57311,300.06995,199.97008,200.01187
57317,300.06277,199.96973,200.00038
57319,300.07516,199.9618,200.00632
57321,300.0593,199.95917,199.99953
57323,300.07333,199.97049,200.00386
57325,300.07425,199.97392,200.00781
57338,300.06577,199.96185,199.99936
57340,300.0728,199.96568,200.00327
57341,300.0847,199.95879,200.00328
57345,300.06403,199.96487,199.99599
57355,300.07126,199.95082,199.99265
57356,300.0684,199.94815,199.99484
57357,300.07736,199.95358,200.00098
57359,300.07,199.9466,200.00325
57363,300.0834,199.96619,200.0125
57366,300.07053,199.9543,200.00504
57367,300.08224,199.94957,200.00397
57369,300.07962,199.96744,200.00262
57375,300.06784,199.96129,199.99934
57376,300.0754,199.96855,200.00345
57378,300.0773,199.96306,200.0072
57381,300.0732,199.97272,200.00175
57383,300.07904,199.97412,200.00887
57384,300.07513,199.95663,200.0065
57385,300.07608,199.9608,200.00436
57390,300.06842,199.95877,199.99377
57395,300.06332,199.97054,199.99803
57398,300.04718,199.96272,199.99341
57399,300.06708,199.95828,199.99167
57402,300.0705,199.96393,200.00212
57411,300.0892,199.96591,200.0011
57416,300.0647,199.96388,200.00914
57419,300.0715,199.9776,200.00131
57423,300.08136,199.9635,200.00551
57425,300.08572,199.97438,200.01309
57427,300.0862,199.9686,199.99548
57431,300.08084,199.94841,200.00897
57447,300.06805,199.96848,199.99658
57449,300.07095,199.962,200.00226
57454,300.0868,199.97015,200.00241
57461,300.08765,199.97629,200.00218
57463,300.07495,199.9687,200.00412
57465,300.07858,199.95993,200.00159
57471,300.07703,199.95961,200.00188
57473,300.07495,199.95932,200.0103
57479,300.0804,199.96553,200.00249
57481,300.07883,199.95026,200.0034
57484,300.08694,199.96303,200.0024
57485,300.07285,199.95592,200.00119
57488,300.0745,199.96094,200.00108
57490,300.08063,199.96283,199.99983
57494,300.07135,199.96028,200.00049
57495,300.06354,199.95699,200.00447
57496,300.07443,199.96613,200.00018
57497,300.07123,199.96315,199.99901
57509,300.07574,199.96252,200.00206
57512,300.07846,199.97533,199.9993
57515,300.07678,199.96358,199.99593
57517,300.07605,199.95999,200.00174
57518,300.08533,199.96277,200.0009
57521,300.05957,199.95837,199.9914
57522,300.07355,199.96777,200.00113
57523,300.07828,199.95674,199.99101
57524,300.07346,199.96802,200.00346
57525,300.0685,199.96527,199.99602
57526,300.08566,199.95677,199.9986
57527,300.07587,199.96124,200.00464
57535,300.08087,199.97246,200.01309
57545,300.07242,199.96011,200.00385
57547,300.07068,199.96227,200.00134
57549,300.08493,199.96222,200.0048
57552,300.08594,199.9563,200.00159
57553,300.07767,199.96722,200.00252
57565,300.0841,199.9648,200.0093
57567,300.08365,199.9595,200.00015
57570,300.08157,199.96117,200.00359
57571,300.08368,199.96344,200.00099
57574,300.0785,199.97847,200.00114
57575,300.0669,199.96541,199.998
57576,300.07285,199.96484,199.9998
57579,300.09286,199.96242,200.00209
57587,300.07385,199.96574,199.99559
57589,300.07672,199.98352,199.99219
57595,300.12183,199.96129,200.05078
57598,300.08304,199.98175,200.00356
57602,300.0673,199.98605,199.98338
57605,300.0819,199.98538,199.99757
57613,300.07687,199.97728,200.00084
57616,300.07727,199.98065,199.99438
57617,300.06552,199.971,199.99268
57618,300.0681,199.97853,199.99174
57619,300.07602,199.9635,199.99498
57621,300.0666,199.9828,199.99342
57622,300.07037,199.96411,200.0024
57623,300.08112,199.96553,200.00421
57624,300.07587,199.96208,199.99295
57626,300.07925,199.96645,200.002
57632,300.06784,199.96628,200.00504
57633,300.08096,199.96333,200.00267
57634,300.07233,199.96312,199.99907
57638,300.07358,199.95204,200.001
57641,300.08246,199.9538,200.00572
57642,300.0827,199.94975,200.00264
57643,300.07135,199.94807,200.0051
57647,300.07224,199.95857,200.00012
57648,300.07288,199.95175,200.00809
57652,300.06882,199.96146,199.98672
57653,300.07574,199.95122,199.9953
57654,300.08072,199.95186,200.00157
57662,300.0881,199.95273,200.00441
57664,300.08557,199.95578,200.00159
57665,300.07413,199.95416,200.00555
57668,300.0795,199.96135,200.00111
57669,300.0833,199.9579,200.00195
57673,300.08072,199.95659,200.00087
57675,300.08087,199.94328,200.01309
57676,300.07565,199.95815,199.99765
57677,300.08875,199.96324,200.0017
57680,300.06866,199.96205,199.99806
57681,300.09567,199.95682,200.00766
57683,300.08105,199.94916,200.00862
57685,300.0972,199.9616,200.02625
57687,300.0818,199.95627,200.00252
57692,300.08337,199.96664,200.00676
57695,300.07996,199.955,200.00206
57696,300.0755,199.98325,200.01363
57698,300.08182,199.96094,199.99968
57700,300.07526,199.94945,199.99602
57703,300.08215,199.9579,200.0085
57705,300.08432,199.9553,200.00652
57707,300.08044,199.9515,200.00253
57710,300.0855,199.96124,200.00241
57712,300.08197,199.96144,200.00716
57713,300.08105,199.9529,200.00136
57718,300.08835,199.96002,200.00183
57724,300.07986,199.96524,199.99896
57729,300.0809,199.95573,200.00285
57731,300.07748,199.95285,199.99417
57732,300.07336,199.95128,199.99646
57734,300.0792,199.95683,199.99977
57735,300.08743,199.95648,200.00475
57750,300.09113,199.95341,199.99847
57755,300.08398,199.95473,200.00395
57756,300.07126,199.95941,199.9999
57758,300.07898,199.95802,200.00201
57759,300.08395,199.95811,200.00267
57763,300.08624,199.95091,200.01181
57764,300.07416,199.95479,199.99202
57765,300.0746,199.94687,200.00035
57767,300.0895,199.95805,200.01964
57768,300.07697,199.95207,199.99603
57770,300.07776,199.94594,200.0004
57771,300.06912,199.95311,200.00891
57773,300.0795,199.94987,200.00027
57774,300.07446,199.95265,200.02077
57775,300.08167,199.9551,200.00157
57778,300.07404,199.95099,199.99666
57779,300.0806,199.9509,200.00723
57780,300.07745,199.95192,200.00616
57783,300.0819,199.9529,200.00836
57792,300.0748,199.95862,200.00664
57795,300.0792,199.9666,200.0068
57798,300.0797,199.95602,200.00323
57810,300.07278,199.96071,200.0
57815,300.07172,199.95409,200.0052
57818,300.07288,199.95566,200.00017
57820,300.0884,199.95625,200.00201
57821,300.07495,199.96237,200.00038
57822,300.08472,199.95406,200.0012
57825,300.08057,199.96805,200.00365
57827,300.0735,199.96413,200.00175
57830,300.0802,199.96501,200.00932
57834,300.08008,199.96103,200.00484
57836,300.09067,199.96887,200.01437
57841,300.07925,199.96777,200.00307
57842,300.09695,199.96797,200.01857
57845,300.0801,199.96417,199.99905
57846,300.08258,199.96895,200.00069
57847,300.07755,199.9698,200.00865
57852,300.07352,199.9707,200.00438
57854,300.079,199.97092,200.00244
57855,300.0747,199.96162,199.99611
57856,300.0721,199.96413,200.00261
57858,300.07513,199.96774,200.00027
57859,300.07407,199.96579,200.01031
57860,300.0868,199.969,200.00479
57862,300.08893,199.97087,200.00873
57864,300.0794,199.96681,200.00027
57867,300.0836,199.9709,200.00647
57868,300.08218,199.96304,200.00778
57869,300.08212,199.96019,200.00397
57871,300.07922,199.97064,200.00221
57873,300.0756,199.97163,199.99998
57874,300.07837,199.9601,200.00574
57875,300.07928,199.9645,200.0043
57876,300.07394,199.95638,200.00208
57878,300.08524,199.96658,200.00414
57880,300.07693,199.96992,200.00327
57881,300.08875,199.96436,199.99925
57882,300.0938,199.9667,200.00693
57884,300.0805,199.97878,200.01268
57885,300.08652,199.97421,200.01045
57886,300.0762,199.96289,199.99475
57888,300.08646,199.96288,199.9984
57889,300.0856,199.96368,200.00674
57893,300.08575,199.96158,200.00288
57903,300.0854,199.95361,200.0047
57905,300.0832,199.96426,200.00334
57906,300.07898,199.95361,200.00133
57909,300.08054,199.96344,200.01018
57912,300.0797,199.969,200.00262
57913,300.07532,199.9575,200.0052
57918,300.07584,199.96301,200.00275
57920,300.0808,199.96419,200.00072
57921,300.08328,199.95891,200.01787
57922,300.0764,199.96304,200.00352
57924,300.07898,199.96613,200.00226
57925,300.081,199.96576,200.00568
57928,300.08386,199.95772,200.006
57931,300.08835,199.98651,200.02386
57936,300.0822,199.96167,200.00217
57938,300.08932,199.96822,200.00974
57939,300.07983,199.95831,199.99951
57941,300.0818,199.9617,199.99805
57942,300.08865,199.96324,200.00403
57943,300.07593,199.96385,199.99524
57945,300.0776,199.96645,199.99852
57946,300.0859,199.96246,200.00284
57951,300.07623,199.96104,200.00415
57953,300.0835,199.96628,200.00894
57956,300.08353,199.96223,200.00636
57957,300.0885,199.96132,200.01118
57960,300.0733,199.95546,200.00201
57962,300.0753,199.97087,200.00174
57964,300.0768,199.9614,199.99812
57966,300.07593,199.95685,199.99889
57969,300.08475,199.95837,200.00542
57970,300.08405,199.9678,200.00887
57971,300.07803,199.96962,199.99667
57972,300.0813,199.96594,200.00755
57973,300.0802,199.96014,199.99908
57975,300.07718,199.96716,199.99576
57976,300.07892,199.9647,200.01285
57979,300.08218,199.95828,200.01096
57980,300.07516,199.96204,200.00995
57981,300.06415,199.96278,199.99838
57983,300.07596,199.96808,200.00089
57985,300.08395,199.9699,200.00266
57987,300.07507,199.96844,200.00719
57988,300.07236,199.96191,200.0036
57989,300.06894,199.96509,199.99931
57992,300.08487,199.96434,199.99855
57993,300.0824,199.96889,200.00417
57994,300.07773,199.962,199.99979
57997,300.0793,199.96474,199.99773
58007,300.08694,199.96332,200.00664
58010,300.08215,199.95772,200.008
58015,300.07446,199.96901,200.00533
58017,300.0733,199.96541,200.0
58020,300.07788,199.95818,200.00232
58021,300.0846,199.96964,199.99704
58026,300.088,199.97107,200.00645
58029,300.0834,199.95938,200.00816
58039,300.07764,199.9449,200.00711
58041,300.09238,199.96022,200.01128
58043,300.09055,199.9592,200.01266
58046,300.08093,199.97432,199.99966
58047,300.09036,199.96327,200.00763
58048,300.0825,199.96313,200.01079
58050,300.07434,199.99638,200.01198
58051,300.0857,199.96515,200.00566
58052,300.0917,199.96758,200.00404
58053,300.08493,199.95987,200.004
58061,300.07916,199.96927,200.00479
58062,300.0824,199.9647,199.99936
58075,300.08932,199.96736,200.00403
58077,300.07983,199.95923,199.99658
58078,300.0896,199.95807,200.00938
58081,300.0807,199.96733,200.0094
58082,300.07727,199.96498,200.00848
58083,300.0771,199.96175,200.00603
58098,300.0932,199.95686,200.0101
58099,300.07816,199.95465,199.99802
58101,300.07233,199.9547,199.99695
58107,300.08173,199.96136,200.0052
58110,300.08588,199.9473,200.00671
58111,300.08682,199.96083,200.00876
58112,300.08453,199.95491,200.00304
58115,300.08365,199.95117,200.00536
58119,300.09174,199.96786,200.01567
58120,300.0814,199.96211,200.00244
58121,300.08798,199.9641,200.00374
58123,300.08188,199.9603,200.00304
58127,300.08728,199.95818,200.00708
58128,300.0825,199.96442,199.99931
58132,300.09167,199.96198,200.01099
58138,300.08847,199.96416,200.00734
58139,300.07843,199.96408,200.00818
58140,300.08932,199.95403,200.00258
58142,300.0774,199.95259,200.00008
58144,300.0875,199.95752,200.00337
58147,300.08337,199.95395,200.00307
58150,300.08298,199.95525,200.00386
58151,300.08255,199.9554,200.01117
58153,300.08572,199.95724,200.00555
58156,300.07745,199.95607,200.00624
58157,300.08127,199.95815,200.0078
58158,300.0789,199.959,199.99672
58159,300.0906,199.96326,200.01486
58162,300.09015,199.95749,200.00764
58163,300.07916,199.96329,200.00319
58165,300.0919,199.96123,200.01024
58167,300.0876,199.95757,200.0003
58169,300.0945,199.95728,200.00943
58173,300.07886,199.958,199.99359
58176,300.09198,199.96445,200.00026
58178,300.09808,199.95384,200.01744
58181,300.07553,199.95532,199.99721
58183,300.08398,199.95224,200.0071
58185,300.09476,199.95549,200.00243
58186,300.08102,199.95724,199.99637
58188,300.07947,199.96512,199.99902
58194,300.0888,199.95476,200.00536
58199,300.0793,199.95981,200.00949
58200,300.08206,199.95427,200.00586
58203,300.0794,199.9632,200.00325
58206,300.09384,199.96318,200.01015
58208,300.08,199.9624,200.00897
58210,300.0885,199.95912,200.01418
58217,300.08124,199.96141,199.99495
58218,300.08905,199.9672,200.00424
58223,300.0801,199.95311,200.00363
58224,300.08063,199.96123,200.00533
58225,300.0843,199.9629,200.0084
58226,300.10718,199.96364,200.0096
58227,300.0926,199.96791,200.00792
58230,300.0788,199.96156,200.00206
58233,300.0879,199.94492,200.00269
58236,300.08362,199.95865,200.0077
58239,300.07803,199.96097,200.00221
58242,300.07855,199.96944,200.00832
58245,300.0819,199.96185,200.00209
58253,300.0902,199.95384,200.01038
58256,300.0831,199.95457,200.00325
58258,300.0932,199.95421,200.00223
58263,300.09363,199.96078,200.01555
58267,300.07953,199.95909,200.00609
58268,300.08813,199.9617,200.00269
58272,300.0836,199.95412,200.00719
58280,300.08527,199.95827,200.00713
58283,300.08694,199.97275,200.00085
58286,300.08557,199.95515,200.0087
58287,300.0785,199.95763,199.99597
58288,300.09253,199.9603,200.00735
58292,300.08755,199.95604,200.00668
58294,300.0859,199.95975,200.01132
58297,300.08423,199.96277,200.01248
58298,300.08984,199.961,200.01312
58299,300.0823,199.95914,199.99509
58301,300.08298,199.95816,200.013
58305,300.08646,199.95566,199.99945
58306,300.08914,199.96414,200.01047
58315,300.08408,199.95993,199.99988
58318,300.0838,199.96297,200.00377
58324,300.08206,199.9683,200.01738
58327,300.08524,199.95924,200.00844
58328,300.08826,199.95697,200.01572
58331,300.08295,199.95998,200.01097
58335,300.08694,199.95863,200.00067
58337,300.09155,199.96733,200.00502
58343,300.08795,199.95221,200.00774
58346,300.09418,199.95834,200.0108
58355,300.08466,199.96793,200.01698
58367,300.09256,199.95123,200.0126
58369,300.085,199.96645,200.00778
58371,300.09406,199.95897,200.00768
58372,300.0891,199.95607,200.02155
58374,300.09,199.95805,200.01244
58376,300.08395,199.96077,200.01042
58377,300.0889,199.9632,200.00626
58378,300.09253,199.9545,200.01129
58384,300.08276,199.94731,200.01242
58385,300.08423,199.95267,200.01079
58386,300.0962,199.95923,200.02063
58388,300.08984,199.95885,200.0148
58390,300.08615,199.9606,200.0093
58391,300.0875,199.96425,200.00945
58393,300.08566,199.96143,200.01254
58395,300.0795,199.97052,200.01761
58398,300.0817,199.95984,200.01071
58400,300.08658,199.96284,200.00775
58401,300.08682,199.9609,200.00943
58402,300.08267,199.96373,200.00964
58403,300.08856,199.96227,200.00987
58404,300.08475,199.95909,200.01585
58405,300.083,199.9639,200.01163
58407,300.08218,199.9608,200.00941
58408,300.08377,199.95795,200.00845
58409,300.08832,199.96115,200.00638
58410,300.08746,199.9606,200.00505
58415,300.08054,199.96127,200.01013
58417,300.0795,199.96793,200.00826
58418,300.08203,199.95796,200.01102
58419,300.08524,199.96036,200.00363
58425,300.08777,199.96474,200.00694
58426,300.0818,199.9559,200.00906
58427,300.0925,199.96492,200.0097
58428,300.08383,199.96248,200.00584
58429,300.07697,199.96072,200.01057
58430,300.0855,199.96371,200.00577
58434,300.07373,199.95715,200.00836
58437,300.09164,199.95055,199.996
58439,300.07858,199.96251,200.01187
58448,300.08838,199.95111,200.00589
58450,300.0835,199.9774,200.00212
58451,300.0776,199.95712,200.00795
58452,300.08655,199.96533,200.00887
58453,300.09326,199.96135,200.00218
58454,300.08536,199.96335,200.0018
58457,300.0772,199.95605,200.00513
58458,300.09375,199.95302,200.0014
58461,300.0889,199.96182,200.00525
58462,300.07993,199.95677,200.00638
58463,300.0774,199.96103,200.00272
58464,300.08493,199.96143,200.0075
58465,300.0833,199.95691,200.00314
58466,300.0795,199.95836,199.99835
58468,300.08395,199.96007,200.00737
58471,300.08942,199.95668,200.00403
58472,300.09247,199.9597,200.00563
58473,300.08395,199.9744,200.00777
58475,300.09775,199.95396,200.01186
58477,300.08093,199.96709,200.00516
58478,300.09732,199.95876,200.00731
58479,300.08347,199.96416,200.00171
58480,300.08505,199.95602,200.00449
58482,300.0839,199.96048,200.00963
58483,300.08582,199.96136,200.0038
58484,300.08698,199.96161,200.00827
58485,300.0873,199.9583,200.00702
58488,300.08075,199.96281,200.0071
58490,300.0825,199.95956,200.00325
58491,300.08444,199.96214,200.00378
58492,300.0843,199.95291,200.0034
58494,300.08774,199.96526,200.00688
58496,300.0947,199.96239,200.0208
58497,300.0875,199.95517,200.01025
58500,300.09158,199.96384,200.00989
58501,300.09262,199.96063,200.0056
58503,300.09024,199.9594,200.00243
58504,300.0863,199.95934,200.00299
58511,300.08362,199.97096,200.01537
58512,300.0857,199.9664,200.00435
58513,300.08682,199.96735,200.01367
58514,300.0903,199.96599,200.00998
58516,300.0845,199.95706,200.00632
58517,300.0924,199.97206,200.0144
58521,300.08957,199.96294,200.0085
58522,300.08484,199.95688,200.00648
58523,300.09564,199.96054,200.00786
58524,300.08594,199.96751,200.01825
58525,300.0806,199.9647,200.01048
58527,300.08197,199.96283,200.00938
58529,300.0867,199.95892,200.0143
58530,300.08163,199.95815,200.00914
58534,300.08496,199.95929,200.00974
58535,300.08786,199.95961,200.00706
58536,300.08014,199.96512,200.00104
58540,300.08517,199.95474,200.00269
58541,300.08344,199.95639,200.00133
58542,300.0869,199.96442,200.00327
58543,300.07983,199.95898,200.00621
58544,300.08466,199.96014,200.00569
58546,300.07828,199.96915,200.00858
58547,300.07947,199.9633,200.00063
58548,300.08945,199.96977,200.0092
58549,300.0818,199.95953,200.00714
58550,300.08743,199.95793,200.0022
58553,300.0821,199.9572,200.00603
58554,300.07928,199.9632,199.99959
58555,300.08627,199.95792,200.00897
58556,300.08823,199.9571,200.00543
58557,300.08984,199.96077,200.00296
58558,300.08618,199.95743,200.00725
58559,300.08698,199.96547,200.00513
58561,300.09406,199.96222,200.00473
58563,300.0917,199.95612,200.00868
58564,300.08905,199.96333,199.99457
58568,300.08835,199.95918,200.0091
58574,300.0848,199.96364,200.00162
58575,300.09406,199.96179,200.01208
58577,300.08347,199.95737,200.0037
58579,300.0796,199.96065,200.00255
58580,300.08655,199.9645,200.00597
58583,300.08884,199.96161,200.01454
58586,300.08582,199.96214,200.01244
58587,300.09003,199.95511,200.00475
58591,300.0849,199.96133,200.00282
58593,300.08862,199.95662,200.00322
58594,300.08353,199.95741,200.00703
58597,300.0844,199.96147,199.99673
58598,300.08215,199.96347,200.01056
58601,300.08865,199.96759,200.01358
58602,300.08255,199.95828,200.00974
58603,300.09326,199.95992,200.00893
58608,300.0806,199.96059,200.00845
58611,300.08774,199.95471,200.0109
58615,300.08252,199.9639,200.00508
58616,300.07837,199.9681,200.01395
58619,300.0899,199.95985,200.01768
58620,300.08936,199.95688,200.01488
58622,300.08243,199.96756,200.0054
58623,300.09692,199.9574,200.01508
58625,300.08292,199.95383,200.00626
58626,300.0894,199.95981,200.01334
58627,300.08838,199.95947,200.02191
58628,300.08728,199.96214,200.01024
58630,300.08713,199.96077,200.00494
58636,300.08398,199.96474,200.00461
58641,300.0823,199.96828,200.00067
58643,300.08347,199.95836,200.00519
58644,300.08505,199.96515,200.00366
58646,300.0877,199.95822,200.00609
58647,300.08624,199.96358,200.00354
58649,300.08392,199.96735,200.00342
58651,300.08408,199.96309,200.0067
58653,300.09146,199.95656,200.00308
58660,300.0877,199.95554,200.01132
58665,300.08643,199.96216,200.01123
58666,300.0854,199.9596,200.00696
58667,300.08203,199.96109,199.99873
58670,300.0856,199.95871,200.00743
58673,300.08594,199.95271,200.01022
58677,300.09033,199.96109,200.01297
58680,300.09247,199.96577,200.0086
58682,300.08337,199.95865,200.00526
58684,300.08334,199.96155,200.01279
58689,300.0867,199.96808,200.00044
58695,300.08426,199.95653,200.00302
58703,300.094,199.96445,200.01187
58706,300.08914,199.95851,200.00961
58710,300.0841,199.96571,200.01201
58720,300.08487,199.95328,200.00964
58722,300.08072,199.95877,200.01416
58735,300.08606,199.95592,200.0142
58746,300.07892,199.94759,200.01108
58748,300.08694,199.95122,200.0131
58756,300.0838,199.95265,200.01003
58761,300.08295,199.95094,200.01125
58762,300.0852,199.9504,200.01862
58763,300.0894,199.95451,200.01424
58765,300.0844,199.95865,200.01886
58771,300.08847,199.95949,200.01212
58776,300.08716,199.95001,200.0072
58782,300.09283,199.95728,200.0151
58784,300.0852,199.95447,200.01474
58790,300.08295,199.95593,200.01408
58792,300.09378,199.95895,200.01341
58796,300.0832,199.95937,200.01161
58797,300.0932,199.95139,200.02159
58807,300.08047,199.95186,200.01471
58811,300.0877,199.9523,200.01147
58819,300.0859,199.9679,200.00294
58821,300.07742,199.95726,200.01405
58822,300.07935,199.95595,200.00919
58823,300.08142,199.96259,200.00264
58825,300.0851,199.95393,200.01733
58829,300.08905,199.95496,200.01324
58833,300.0826,199.95218,200.0084
58834,300.08185,199.95976,200.0086
58835,300.08295,199.96597,200.01315
58841,300.07935,199.95688,200.0139
58843,300.06726,199.96358,200.00491
58844,300.09402,199.95091,200.01366
58846,300.08435,199.95718,200.01111
58848,300.0913,199.9544,200.01474
58849,300.07803,199.96179,200.00844
58850,300.08057,199.95781,200.01785
58854,300.0721,199.95296,200.01341
58855,300.09097,199.9527,200.01262
58856,300.08188,199.95935,200.01112
58858,300.0924,199.95497,200.0117
58860,300.0892,199.95398,200.014
58861,300.0823,199.96596,200.01393
58863,300.0811,199.95085,200.00606
58868,300.0792,199.95505,200.00763
58871,300.08228,199.95642,200.01787
58877,300.07224,199.96239,200.01118
58878,300.08188,199.95808,200.01283
58879,300.09653,199.95258,200.01349
58880,300.088,199.95624,200.01476
58884,300.0902,199.95598,200.01743
58887,300.0804,199.96614,200.02077
58890,300.08755,199.95238,200.0186
58891,300.0824,199.95671,200.01517
58893,300.09122,199.94585,200.0117
58897,300.09137,199.95293,200.01727
58899,300.08075,199.95839,200.00946
58900,300.08493,199.95856,200.01797
58902,300.0794,199.94847,200.00716
58907,300.0898,199.96558,200.00648
58909,300.07635,199.95827,200.00772
58910,300.09363,199.95294,200.01018
58911,300.09158,199.95673,200.02003
58913,300.088,199.95653,200.01233
58915,300.08755,199.95645,200.01538
58917,300.09097,199.9553,200.01456
58922,300.07944,199.9551,200.00928
58925,300.08203,199.9505,200.01276
58926,300.08536,199.9548,200.01024
58927,300.07123,199.96022,200.00697
58930,300.08075,199.94759,200.00134
58932,300.07983,199.95943,200.01712
58933,300.08594,199.95998,200.01604
58940,300.0848,199.96417,200.01685
58960,300.0842,199.96297,200.01083
58961,300.0907,199.95961,200.0159
58962,300.088,199.94334,200.0097
58963,300.0951,199.98166,200.01468
58964,300.0872,199.95946,200.01416
58967,300.0804,199.96338,200.01799
58972,300.08542,199.95439,200.01662
58974,300.09442,199.95853,200.01941
58975,300.0876,199.95418,200.01703
